STT,Tên tạp chí,ISSN,eISSN,Impact Factor
368,BMC Chemical Biology,1472-6769, , 
369,BMC Chemical Engineering,2524-4175, , 
370,BMC Chemistry, , , 
371,BMC Clinical Pathology,1472-6890, , 
372,BMC Clinical Pharmacology,1472-6904, , 
373,BMC Complementary Medicine and Therapies,2662-7671, , 
374,BMC Dermatology,1471-5945, , 
375,BMC Developmental Biology, , , 
376,BMC Digital Health, , , 
377,"BMC Ear, Nose and Throat Disorders",1472-6815, , 
378,BMC Ecology,1472-6785, , 
379,BMC Ecology and Evolution,2730-7182, , 
380,BMC Emergency Medicine, , , 
381,BMC Endocrine Disorders,1472-6823, , 
382,BMC Energy,2524-4469, , 
383,BMC Gastroenterology, , , 
384,BMC Genomic Data,2730-6844, , 
385,BMC Genomics,1471-2164, , 
386,BMC Geriatrics,1471-2318, , 
387,BMC Global and Public Health, , , 
388,BMC Health Services Research,1472-6963, , 
389,BMC Hematology,2052-1839, , 
390,BMC Immunology,1471-2172, , 
391,BMC Infectious Diseases,1471-2334, , 
392,BMC International Health and Human Rights, , , 
393,BMC Materials,2524-8138, , 
394,BMC Medical Education,1472-6920, , 
395,BMC Medical Ethics,1472-6939, , 
396,BMC Medical Genetics,1471-2350, , 
397,BMC Medical Genomics,1755-8794, , 
398,BMC Medical Imaging,1471-2342, , 
399,BMC Medical Informatics and Decision Making,1472-6947, , 
400,BMC Medical Physics,1756-6649, , 
401,BMC Medical Research Methodology,1471-2288, , 
402,BMC Medicine,1741-7015, , 
403,BMC Microbiology,1471-2180, , 
404,BMC Molecular Biology,1471-2199, , 
405,BMC Molecular and Cell Biology,2661-8850, , 
406,BMC Musculoskeletal Disorders,1471-2474, , 
407,BMC Nephrology,1471-2369, , 
408,BMC Neurology,1471-2377, , 
409,BMC Neuroscience,1471-2202, , 
410,BMC Nursing,1472-6955, , 
411,BMC Nutrition,2055-0928, , 
412,BMC Obesity,2052-9538, , 
413,BMC Ophthalmology,1471-2415, , 
414,BMC Oral Health,1472-6831, , 
415,BMC Palliative Care, , , 
416,BMC Pediatrics,1471-2431, , 
417,BMC Pharmacology,1471-2210, , 
418,BMC Pharmacology and Toxicology,2050-6511, , 
419,BMC Physiology,1472-6793, , 
420,BMC Plant Biology,1471-2229, , 
421,BMC Pregnancy and Childbirth,1471-2393, , 
422,BMC Primary Care,2731-4553, , 
423,BMC Proceedings,1753-6561, , 
424,BMC Psychiatry, , , 
425,BMC Psychology,2050-7283, , 
426,BMC Public Health,1471-2458, , 
427,BMC Pulmonary Medicine,1471-2466, , 
428,BMC Research Notes,1756-0500, , 
429,BMC Rheumatology,2520-1026, , 
